event_id,category_id,title,closed,link
EONET_20172,wildfires,"RX WINN BU 114 Prescribed Fire, Grant, Louisiana",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20172
EONET_20152,wildfires,"Stinky Wildfire, Potter, Texas",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20152
EONET_20167,wildfires,"Proffitt Lake Wildfire, Meade, Kansas",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20167
EONET_20151,wildfires,"Axtell Anceney Rd and Cottontail Rd Wildfire, Gallatin, Montana",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20151
EONET_20194,wildfires,"APQ Area 13 RX 0516 Prescribed Fire, Highlands, Florida",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20194
EONET_20411,volcanoes,"Kikai Volcano, Japan",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20411
EONET_20163,wildfires,"Sharpe Wildfire, Cimarron, Oklahoma",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20163
EONET_20161,wildfires,"Flanders Wildfire, Crow Wing, Minnesota",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20161
EONET_20183,wildfires,"DeSoto BB 8366 2 RX Prescribed Fire, Harrison, Mississippi",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20183
EONET_20165,wildfires,"Tex-OK Wildfire, Cimarron, Oklahoma",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20165
EONET_20197,wildfires,"Chickasawhay CPT 441 RX Prescribed Fire, Wayne, Mississippi",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20197
EONET_20410,volcanoes,"Bezymianny Volcano, Russia",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20410
EONET_20170,wildfires,"Wolf Canyon OK Wildfire, Beaver, Oklahoma",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20170
EONET_20169,wildfires,"Cadilac Wildfire, Beaver, Oklahoma",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20169
EONET_20164,wildfires,"Ballard Wildfire, Cimarron, Oklahoma",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20164
EONET_20171,wildfires,"Herman Ranch Wildfire, Clark, Kansas",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20171
EONET_20150,wildfires,"Santa Rosa Island Wildfire, Santa Barbara, California",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20150
EONET_20178,wildfires,"Windmill Wildfire, Morton, Kansas",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20178
EONET_20220,seaLakeIce,Iceberg B51,False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20220
EONET_20221,seaLakeIce,Iceberg D15D,False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20221
EONET_20187,wildfires,"Line Wildfire, Quay, New Mexico",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20187
EONET_20166,wildfires,"Hunggate Wildfire, Randall, Texas",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20166
EONET_20155,wildfires,"51 Wildfire, Morton, Kansas",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20155
EONET_20186,wildfires,"Mimms Wildfire, Quay, New Mexico",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20186
EONET_20098,wildfires,"Eagle Lake Fire Wildfire, Hancock, Iowa",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20098
EONET_20204,wildfires,"DeSoto BB 8366 RX Prescribed Fire, Harrison, Mississippi",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20204
EONET_20206,wildfires,"Chickasawhay CPT 439 441 RX Prescribed Fire, Wayne, Mississippi",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20206
EONET_20156,wildfires,"SEVEN CABINS Wildfire, Lincoln, New Mexico",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20156
EONET_20095,wildfires,"Ash Pole Wildfire, Dawes, Nebraska",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20095
EONET_20189,wildfires,"Rochelle 2 Wildfire, Converse, Wyoming",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20189
EONET_20094,wildfires,"NEURALIA Wildfire, Kern, California",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20094
EONET_20177,wildfires,"Jericho Creek Wildfire, Powell, Montana",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20177
EONET_20096,wildfires,"Wild Horse Wildfire, Millard, Utah",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20096
EONET_20255,wildfires,"NW SANDS BLOCK A RX Prescribed Fire, Bayfield, Wisconsin",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20255
EONET_20099,wildfires,"RX WINN BU 113 Prescribed Fire, Grant, Louisiana",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20099
EONET_20205,wildfires,"Stotz RX Prescribed Fire, Edmunds, South Dakota",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20205
EONET_20061,wildfires,"rx-Young 1 Prescribed Fire, Jefferson, Wisconsin",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20061
EONET_20062,wildfires,"MAX ROAD (06) Wildfire, Broward, Florida",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20062
EONET_20064,wildfires,"Rx Upshur 3999 Prescribed Fire, Upshur, Texas",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20064
EONET_20101,wildfires,"Peterson Road RX Prescribed Fire, Benzie, Michigan",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20101
EONET_20063,wildfires,"Rothi East RX Prescribed Fire, Big Stone, Minnesota",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20063
EONET_20066,wildfires,"Lasso Loop RX Prescribed Fire, Benzie, Michigan",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20066
EONET_20069,wildfires,"BRITE Wildfire, Kern, California",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20069
EONET_20237,wildfires,"Jesson WPA RX Prescribed Fire, Spink, South Dakota",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20237
EONET_20413,volcanoes,"Langila Volcano, Papua New Guinea",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20413
EONET_20002,wildfires,"PINE MOUNTAIN Wildfire, Deschutes, Oregon",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20002
EONET_20065,wildfires,"CANYON Wildfire, Kern, California",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20065
EONET_20009,wildfires,"rx-Lapham Good Oak 2026 Prescribed Fire, Waukesha, Wisconsin",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20009
EONET_20003,wildfires,"SOUTH CANAL Wildfire, Lafayette, Florida",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20003
EONET_20004,wildfires,"LOCHLOOSA WEST Wildfire, Alachua, Florida",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20004
EONET_20012,wildfires,"Hog Farm Wildfire, Woodward, Oklahoma",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20012
EONET_19972,wildfires,"Black Rush Lake RX Prescribed Fire, Swift, Minnesota",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19972
EONET_19970,wildfires,"32nd Avenue Wildfire, Rolette, North Dakota",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19970
EONET_20248,wildfires,"Chickasawhay CPT 363 RX Prescribed Fire, Jones, Mississippi",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20248
EONET_19973,wildfires,"TOWER Wildfire, Kern, California",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19973
EONET_19971,wildfires,"AFM - Hazen Wildfire, Maricopa, Arizona",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19971
EONET_19974,wildfires,"Guide Wildfire, Oglala Lakota, South Dakota",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19974
EONET_20184,wildfires,"2026 JBER Prescribed RX Burn Prescribed Fire, Anchorage, Alaska",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20184
EONET_19977,wildfires,"rx-82 Prescribed Fire, Burnett, Wisconsin",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19977
EONET_20008,wildfires,"Burbank B RX Prescribed Fire, Kandiyohi, Minnesota",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20008
EONET_20013,wildfires,"Black Diamond 1B RX Prescribed Fire, Lewis and Clark, Montana",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20013
EONET_19934,wildfires,"Buzzard Feather Wildfire, Roosevelt, Montana",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19934
EONET_19978,wildfires,"Downing RX Prescribed Fire, Mahnomen, Minnesota",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19978
EONET_19941,wildfires,"rx-Millville Oak Woodlands SNA South Prescribed Fire, Grant, Wisconsin",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19941
EONET_20265,wildfires,"LaCreek NWR Pool RX Prescribed Fire, Bennett, South Dakota",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20265
EONET_19976,wildfires,"Ogden Bay RX Prescribed Fire, Weber, Utah",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19976
EONET_19942,wildfires,"Rx Parker 3877 Prescribed Fire, Parker, Texas",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19942
EONET_19940,wildfires,"Sparks Wildfire, Quay, New Mexico",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19940
EONET_19939,wildfires,"SHADY GROVE Wildfire, Russell, Alabama",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19939
